"Fact","Fact Note","Kern County, California","Value Note for Kern County, California","Inyo County, California","Value Note for Inyo County, California","Imperial County, California","Value Note for Imperial County, California","Humboldt County, California","Value Note for Humboldt County, California","Glenn County, California","Value Note for Glenn County, California"
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,434","","$1,750","","$1,378","","$1,560","","$1,353",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$405","","$468","","$390","","$388","","$395",""
"Median gross rent, 2012-2016","","$905","","$829","","$778","","$899","","$750",""
"Building permits, 2017","","2,640","","11","","191","","293","","20",""
"Households, 2012-2016","","262,337","","7,973","","45,800","","53,689","","9,801",""
"Persons per household, 2012-2016","","3.20","","2.22","","3.68","","2.44","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","83.1%","","88.7%","","84.7%","","79.9%","","90.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","44.0%","","14.2%","","75.7%","","10.9%","","38.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","73.6%","","88.5%","","67.0%","","90.3%","","72.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","15.7%","","24.5%","","14.0%","","28.2%","","12.7%",""
"With a disability, under age 65 years, percent, 2012-2016","","7.9%","","7.6%","","9.0%","","12.9%","","12.8%",""
"Persons  without health insurance, under age 65 years, percent","","8.1%","","8.6%","","8.3%","","8.3%","","9.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","58.5%","","59.1%","","52.9%","","58.9%","","55.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","52.5%","","57.0%","","51.7%","","56.5%","","48.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,092,151","","99,615","","182,646","","257,506","","33,163",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","3,675,000","","121,556","","511,132","","695,496","","51,980",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","6,890,714","","D","","1,465,960","","D","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","6,987,888","","D","","1,599,144","","361,890","","160,076",""
"Total retail sales, 2012 ($1,000)","(c)","8,640,550","","229,032","","1,676,853","","1,759,201","","191,222",""
"Total retail sales per capita, 2012","(c)","$10,092","","$12,383","","$9,477","","$13,048","","$6,831",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","23.5","","16.5","","20.9","","18.2","","22.8",""
"Median household income (in 2016 dollars), 2012-2016","","$49,788","","$47,278","","$42,560","","$42,685","","$41,699",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$21,094","","$28,678","","$16,311","","$24,038","","$20,362",""
"Persons in poverty, percent","","22.4%","","12.3%","","23.6%","","20.0%","","16.7%",""
"Total employer establishments, 2016","","12,724","","509","","2,519","","3,170","","468",""
"Total employment, 2016","","190,503","","5,119","","33,092","","34,455","","5,198",""
"Total annual payroll, 2016 ($1,000)","","8,341,780","","189,016","","1,092,635","","1,219,080","","253,734",""
"Total employment, percent change, 2015-2016","","-2.2%","","-3.6%","","-0.2%","","3.5%","","6.3%",""
"Total nonemployer establishments, 2016","","45,491","","1,256","","9,442","","11,598","","1,390",""
"All firms, 2012","","51,393","","1,717","","11,202","","12,821","","1,880",""
"Men-owned firms, 2012","","25,177","","732","","5,340","","6,709","","961",""
"Women-owned firms, 2012","","20,004","","591","","4,765","","4,162","","705",""
"Minority-owned firms, 2012","","26,610","","362","","8,501","","1,853","","593",""
"Nonminority-owned firms, 2012","","23,006","","1,256","","2,330","","10,333","","1,238",""
"Veteran-owned firms, 2012","","3,770","","98","","608","","1,132","","89",""
"Nonveteran-owned firms, 2012","","45,383","","1,552","","10,000","","11,005","","1,587",""
"Population per square mile, 2010","","103.3","","1.8","","41.8","","37.7","","21.4",""
"Land area in square miles, 2010","","8,131.92","","10,180.88","","4,176.60","","3,567.99","","1,313.95",""
"FIPS Code","","""06029""","","""06027""","","""06025""","","""06023""","","""06021""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
