"Fact","Fact Note","Shasta County, California","Value Note for Shasta County, California","Santa Cruz city, California","Value Note for Santa Cruz city, California","Santa Clara County, California","Value Note for Santa Clara County, California","Santa Barbara County, California","Value Note for Santa Barbara County, California","San Mateo County, California","Value Note for San Mateo County, California"
"Median value of owner-occupied housing units, 2012-2016","","$223,500","","$707,600","","$752,400","","$480,000","","$845,300",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,467","","$2,651","","$2,972","","$2,203","","$3,102",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$447","","$576","","$667","","$550","","$656",""
"Median gross rent, 2012-2016","","$945","","$1,576","","$1,813","","$1,423","","$1,830",""
"Building permits, 2017","","382","","X","","7,968","","1,280","","1,582",""
"Households, 2012-2016","","69,713","","22,088","","626,579","","143,051","","261,010",""
"Persons per household, 2012-2016","","2.53","","2.44","","2.95","","2.93","","2.85",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","84.1%","","73.7%","","85.4%","","79.4%","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","8.6%","","25.2%","","52.1%","","39.7%","","46.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","90.0%","","93.6%","","87.1%","","80.1%","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","20.1%","","51.1%","","49.1%","","32.2%","","47.1%",""
"With a disability, under age 65 years, percent, 2012-2016","","12.9%","","5.7%","","4.5%","","5.9%","","4.7%",""
"Persons  without health insurance, under age 65 years, percent","","6.7%","","10.5%","","5.1%","","10.3%","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","53.5%","","61.0%","","67.1%","","63.3%","","68.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","50.1%","","58.6%","","59.6%","","57.6%","","63.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","285,536","","253,858","","4,809,201","","1,428,929","","2,552,854",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,324,574","","292,027","","17,020,991","","2,637,280","","5,166,992",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","511,871","","346,239","","41,450,609","","4,157,565","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,023,859","","594,489","","91,858,973","","3,475,600","","15,969,681",""
"Total retail sales, 2012 ($1,000)","(c)","2,507,063","","773,249","","40,336,741","","4,853,808","","11,330,620",""
"Total retail sales per capita, 2012","(c)","$14,038","","$12,464","","$21,952","","$11,255","","$15,326",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","19.9","","22.3","","27.2","","19.2","","27.6",""
"Median household income (in 2016 dollars), 2012-2016","","$45,582","","$62,471","","$101,173","","$65,161","","$98,546",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$25,094","","$31,639","","$46,034","","$31,098","","$50,262",""
"Persons in poverty, percent","","17.2%","","24.1%","","9.3%","","13.9%","","6.6%",""
"Total employer establishments, 2016","","4,148","","X","","48,278","","11,640","","21,199",""
"Total employment, 2016","","50,069","","X","","1,021,748","","146,896","","374,251",""
"Total annual payroll, 2016 ($1,000)","","1,996,519","","X","","114,930,448","","7,310,374","","41,060,198",""
"Total employment, percent change, 2015-2016","","1.8%","","X","","2.2%","","0.3%","","-0.7%",""
"Total nonemployer establishments, 2016","","11,825","","X","","143,480","","34,480","","71,514",""
"All firms, 2012","","13,342","","7,542","","163,130","","39,952","","75,507",""
"Men-owned firms, 2012","","7,068","","3,605","","84,501","","20,585","","39,910",""
"Women-owned firms, 2012","","4,162","","2,877","","58,589","","13,911","","26,594",""
"Minority-owned firms, 2012","","1,752","","1,096","","82,931","","10,340","","30,914",""
"Nonminority-owned firms, 2012","","10,680","","6,043","","72,818","","27,596","","40,894",""
"Veteran-owned firms, 2012","","1,422","","490","","9,400","","3,254","","5,141",""
"Nonveteran-owned firms, 2012","","10,968","","6,661","","146,384","","34,332","","66,645",""
"Population per square mile, 2010","","46.9","","4,705.3","","1,381.0","","155.0","","1,602.2",""
"Land area in square miles, 2010","","3,775.40","","12.74","","1,290.10","","2,735.09","","448.41",""
"FIPS Code","","""06089""","","""0669112""","","""06085""","","""06083""","","""06081""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
