,County,"Population estimates base, April 1, 2010,  (V2017)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2012-2016","Housing units,  July 1, 2017,  (V2017)","Median gross rent, 2012-2016","Households, 2012-2016","Persons per household, 2012-2016","Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","High school graduate or higher, percent of persons age 25 years+, 2012-2016","Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","Mean travel time to work (minutes), workers age 16 years+, 2012-2016","Median household income (in 2016 dollars), 2012-2016","Persons in poverty, percent",EV,Registered,Democratic,Republican,Green,City,Median Income
23,Merced,"255,798",7.8%,29.6%,11.1%,82.0%,3.9%,2.5%,8.0%,0.4%,3.1%,59.6%,27.7%,"10,492","85,266",$882,"78,270",3.31,52.5%,68.6%,13.7%,26.6,"$44,397",20.3%,428.0,58.87%,43.75%,27.93%,0.32%,14.0,29113.0
24,Modoc,"9,686",4.5%,18.9%,26.5%,88.9%,1.3%,4.9%,1.2%,0.3%,3.4%,14.6%,77.9%,706,"5,277",$681,"3,670",2.32,12.1%,86.4%,18.3%,16.4,"$41,194",18.4%,6.0,69.12%,21.56%,49.92%,0.41%,1.0,30412.0
25,Mono,"14,202",5.1%,18.6%,15.1%,91.1%,0.8%,3.0%,2.2%,0.4%,2.7%,27.5%,65.5%,825,"14,115","$1,107","4,950",2.77,25.9%,84.0%,30.6%,15.9,"$58,937",11.5%,26.0,66.34%,34.76%,31.22%,0.74%,5.0,33567.0
26,Monterey,"415,052",7.3%,26.2%,13.2%,82.6%,3.5%,2.6%,6.8%,0.6%,3.8%,58.8%,29.8%,"18,582","141,635","$1,275","125,916",3.27,53.9%,70.9%,23.6%,22.5,"$60,889",12.9%,1676.0,74.81%,49.70%,20.92%,0.50%,59.0,33557.0
27,Napa,"136,530",5.2%,21.0%,18.4%,84.0%,2.4%,1.2%,8.7%,0.4%,3.2%,34.3%,52.4%,"8,284","55,847","$1,442","49,375",2.76,35.6%,83.9%,33.0%,23.9,"$74,609",7.9%,1321.0,82.09%,45.69%,22.56%,0.76%,88.0,44878.0
28,Nevada,"98,748",4.4%,17.3%,26.5%,93.5%,0.6%,1.2%,1.4%,0.2%,3.1%,9.5%,85.2%,"8,731","53,860","$1,205","40,587",2.4,8.9%,93.3%,34.4%,24.1,"$57,429",10.9%,527.0,84.99%,36.11%,33.57%,1.17%,15.0,38874.0
29,Orange,"3,010,265",5.9%,22.1%,14.3%,72.0%,2.1%,1.0%,21.0%,0.4%,3.5%,34.2%,40.5%,"120,558","1,102,116","$1,608","1,017,012",3.04,45.6%,84.5%,38.4%,27.2,"$78,145",11.1%,41088.0,74.00%,33.55%,35.62%,0.31%,455.0,40243.0
30,Placer,"348,494",5.4%,22.3%,19.1%,84.8%,1.8%,1.1%,7.7%,0.3%,4.3%,14.0%,72.7%,"27,830","163,918","$1,339","136,730",2.68,14.7%,94.2%,36.9%,27.1,"$76,926",7.2%,3411.0,82.06%,28.27%,42.48%,0.39%,44.0,50396.0
31,Plumas,"20,007",4.3%,16.8%,27.8%,90.8%,1.1%,3.2%,1.1%,0.1%,3.6%,8.9%,83.6%,"2,003","15,813",$846,"8,376",2.19,9.2%,91.9%,21.9%,23.7,"$50,125",12.6%,26.0,77.49%,28.47%,42.48%,0.48%,0.0,34590.0
32,Riverside,"2,189,753",6.6%,25.4%,14.1%,80.0%,7.2%,1.9%,7.0%,0.4%,3.5%,49.1%,35.4%,"128,343","840,207","$1,212","705,716",3.25,40.0%,80.5%,21.2%,32.9,"$57,972",15.3%,10999.0,67.14%,37.53%,33.40%,0.27%,211.0,33375.0
33,Sacramento,"1,418,742",6.5%,23.8%,13.7%,63.4%,10.9%,1.5%,16.6%,1.3%,6.2%,23.3%,44.8%,"85,177","569,705","$1,065","527,335",2.76,31.7%,86.8%,29.3%,26.5,"$57,509",16.3%,7588.0,73.85%,42.72%,26.29%,0.47%,182.0,38606.0
34,San Benito,"55,269",6.4%,25.7%,12.6%,88.2%,1.4%,3.1%,3.4%,0.4%,3.4%,59.9%,34.4%,"2,480","18,876","$1,316","17,390",3.32,39.4%,78.3%,19.0%,32.5,"$73,814",10.5%,363.0,86.35%,45.70%,26.36%,0.39%,6.0,39663.0
35,San Bernardino,"2,035,212",7.1%,26.5%,11.3%,76.9%,9.4%,2.1%,7.6%,0.5%,3.5%,53.4%,28.6%,"96,196","719,205","$1,144","618,922",3.32,41.5%,78.8%,19.3%,30.7,"$54,469",17.6%,8033.0,69.07%,39.36%,29.84%,0.31%,133.0,32194.0
36,San Diego,"3,095,342",6.4%,21.8%,13.6%,75.6%,5.5%,1.3%,12.5%,0.6%,4.4%,33.9%,45.5%,"230,035","1,214,208","$1,395","1,103,128",2.87,37.5%,86.4%,36.5%,25.3,"$66,529",12.4%,26176.0,74.76%,36.19%,28.44%,0.41%,448.0,39515.0
37,San Francisco,"805,193",4.5%,13.4%,15.4%,53.1%,5.5%,0.7%,35.9%,0.4%,4.3%,15.2%,40.5%,"25,791","397,550","$1,632","356,797",2.33,44.0%,87.4%,54.8%,32.4,"$87,701",10.2%,8484.0,72.82%,57.07%,6.84%,0.85%,182.0,56722.0
38,San Joaquin,"685,308",7.1%,27.3%,12.4%,67.0%,8.2%,2.0%,16.7%,0.8%,5.3%,41.6%,31.8%,"31,316","242,814","$1,057","221,707",3.16,41.0%,78.0%,18.2%,31.2,"$55,045",14.6%,2586.0,73.19%,42.01%,29.65%,0.30%,38.0,34684.0
39,San Luis Obispo,"269,591",4.7%,17.8%,19.4%,88.9%,2.0%,1.4%,4.0%,0.2%,3.5%,22.6%,68.8%,"18,452","121,902","$1,257","104,404",2.51,18.6%,90.1%,34.1%,22.0,"$64,014",11.0%,1921.0,79.07%,34.54%,35.81%,0.63%,75.0,41851.0
40,San Mateo,"718,500",5.7%,20.8%,15.8%,60.6%,2.8%,0.8%,29.6%,1.5%,4.6%,24.5%,39.3%,"27,587","278,074","$1,830","261,010",2.85,46.5%,88.6%,47.1%,27.6,"$98,546",6.6%,12843.0,76.31%,50.54%,15.72%,0.49%,226.0,59192.0
41,Santa Barbara,"423,949",6.3%,22.2%,14.9%,85.5%,2.4%,2.2%,6.0%,0.2%,3.7%,45.6%,44.3%,"23,513","157,039","$1,423","143,051",2.93,39.7%,80.1%,32.2%,19.2,"$65,161",13.9%,2737.0,70.34%,42.32%,26.70%,0.53%,74.0,36985.0
42,Santa Clara,"1,781,671",6.1%,22.2%,13.1%,53.8%,2.8%,1.2%,37.5%,0.5%,4.1%,25.6%,31.6%,"58,015","671,125","$1,813","626,579",2.95,52.1%,87.1%,49.1%,27.2,"$101,173",9.3%,44939.0,71.04%,45.85%,17.74%,0.39%,486.0,57281.0
43,Santa Cruz,"59,945",3.5%,13.2%,10.5%,78.3%,1.3%,0.6%,9.2%,0.1%,5.8%,20.4%,64.8%,"2,154",X,"$1,576","22,088",2.44,25.2%,93.6%,51.1%,22.3,"$62,471",24.1%,3216.0,80.35%,55.25%,14.44%,1.10%,32.0,38989.0
44,Shasta,"177,223",5.9%,21.5%,20.3%,88.0%,1.1%,3.1%,3.1%,0.2%,4.4%,10.1%,79.8%,"16,147","78,847",$945,"69,713",2.53,8.6%,90.0%,20.1%,19.9,"$45,582",17.2%,356.0,73.78%,23.52%,46.41%,0.40%,11.0,33381.0
45,Sierra,"3,240",4.5%,15.7%,30.2%,93.9%,0.3%,2.5%,0.5%,0.1%,2.7%,11.0%,84.2%,342,"2,357",$961,"1,275",2.27,10.0%,89.0%,19.8%,27.3,"$43,984",14.4%,3.0,82.82%,27.51%,40.18%,0.92%,0.0,36675.0
46,Siskiyou,"44,900",5.2%,20.2%,24.7%,86.5%,1.4%,5.0%,1.4%,0.4%,5.3%,12.6%,76.3%,"4,195","24,144",$828,"19,045",2.26,8.3%,88.6%,22.2%,18.6,"$38,524",18.8%,67.0,79.32%,30.36%,38.06%,0.76%,5.0,30307.0
47,Solano,"413,344",6.0%,22.3%,15.2%,59.9%,14.8%,1.2%,16.1%,1.0%,7.0%,26.5%,38.1%,"33,653","157,919","$1,337","145,315",2.88,29.8%,87.5%,25.1%,30.8,"$69,227",11.4%,2562.0,76.34%,46.04%,22.00%,0.38%,57.0,42983.0
48,Sonoma,"10,652",3.7%,17.4%,28.1%,89.2%,0.1%,0.1%,2.6%,0.0%,2.3%,14.3%,81.0%,777,X,"$1,552","5,046",2.12,14.4%,93.7%,42.6%,27.1,"$71,209",10.7%,6410.0,77.59%,52.14%,18.42%,1.10%,121.0,42963.0
49,Stanislaus,"514,451",7.2%,27.1%,12.8%,83.6%,3.4%,2.0%,6.0%,0.9%,4.0%,46.3%,41.9%,"23,368","181,602","$1,005","170,328",3.08,40.9%,77.6%,16.5%,27.5,"$51,591",14.5%,1405.0,69.55%,37.62%,35.48%,0.28%,27.0,33465.0
50,Sutter,"94,743",6.9%,26.0%,15.1%,73.1%,2.6%,2.3%,17.0%,0.4%,4.6%,31.0%,46.0%,"6,393","34,401",$941,"32,028",2.95,38.0%,79.2%,17.9%,26.2,"$52,943",17.1%,141.0,73.36%,30.14%,39.58%,0.24%,1.0,32792.0
51,Tehama,"63,440",6.5%,24.0%,19.1%,90.3%,1.0%,3.4%,1.4%,0.2%,3.7%,25.2%,68.0%,"4,777","27,525",$781,"23,573",2.64,19.0%,82.9%,13.8%,24.2,"$40,687",20.9%,74.0,74.00%,25.42%,42.99%,0.30%,3.0,30321.0
52,Trinity,"13,780",4.2%,17.0%,26.2%,87.4%,0.7%,5.1%,1.3%,0.2%,5.3%,7.3%,82.3%,"1,554","8,879",$750,"5,468",2.35,10.1%,90.7%,20.1%,18.9,"$35,270",21.3%,24.0,66.68%,31.53%,32.48%,1.27%,0.0,29368.0
53,Tulare,"442,178",8.2%,30.9%,11.1%,88.3%,2.2%,2.8%,4.0%,0.2%,2.6%,64.7%,28.6%,"15,280","148,994",$847,"134,153",3.36,51.2%,68.2%,14.0%,22.7,"$42,789",24.7%,823.0,61.50%,31.24%,40.06%,0.28%,17.0,27811.0
54,Tuolumne,"55,365",4.4%,16.7%,25.5%,90.5%,2.0%,2.3%,1.3%,0.3%,3.6%,12.5%,80.0%,"5,059","31,535",$936,"22,083",2.29,6.7%,89.8%,19.7%,27.3,"$50,731",15.4%,131.0,76.08%,29.50%,41.53%,0.53%,0.0,35305.0
55,Ventura,"823,391",6.0%,23.2%,15.0%,84.3%,2.3%,1.9%,7.8%,0.3%,3.5%,42.9%,45.2%,"43,055","288,813","$1,572","269,338",3.09,38.8%,83.4%,32.2%,26.0,"$78,593",9.8%,6783.0,79.16%,40.11%,30.15%,0.40%,83.0,39799.0
56,Yolo,"200,850",5.7%,21.1%,12.1%,74.5%,2.9%,1.8%,14.9%,0.6%,5.3%,31.8%,46.6%,"8,827","77,952","$1,147","72,544",2.78,37.4%,85.6%,40.0%,22.4,"$57,663",19.0%,1536.0,72.07%,47.47%,19.97%,0.72%,54.0,40571.0
57,Yuba,"72,146",7.8%,27.4%,12.4%,78.6%,4.3%,2.9%,7.4%,0.5%,6.3%,28.3%,54.9%,"6,311","28,606",$918,"25,655",2.83,23.7%,82.2%,15.5%,30.6,"$48,739",16.6%,118.0,67.21%,27.07%,36.40%,0.44%,5.0,32059.0
