"Fact","Fact Note","Madera County, California","Value Note for Madera County, California","Los Angeles County, California","Value Note for Los Angeles County, California","Lassen County, California","Value Note for Lassen County, California","Lake County, California","Value Note for Lake County, California","Kings County, California","Value Note for Kings County, California"
"Persons  without health insurance, under age 65 years, percent","","9.7%","","10.7%","","4.9%","","8.7%","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","51.4%","","64.3%","","36.7%","","49.5%","","52.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","43.8%","","57.7%","","51.5%","","46.1%","","53.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","150,065","","22,965,135","","35,984","","88,833","","378,595",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","760,956","","67,261,267","","84,085","","256,618","","587,818",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,441,125","","163,829,606","","X","","80,536","","2,904,014",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","508,930","","199,804,798","","D","","D","","746,638",""
"Total retail sales, 2012 ($1,000)","(c)","1,012,856","","121,389,378","","215,837","","522,337","","1,031,953",""
"Total retail sales per capita, 2012","(c)","$6,654","","$12,184","","$6,413","","$8,164","","$6,818",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","25.6","","30.4","","21.3","","28.8","","21.4",""
"Median household income (in 2016 dollars), 2012-2016","","$45,742","","$57,952","","$51,457","","$36,132","","$47,241",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$19,021","","$29,301","","$20,072","","$21,799","","$19,123",""
"Persons in poverty, percent","","20.4%","","16.3%","","17.6%","","20.7%","","17.4%",""
"Total employer establishments, 2016","","1,950","","269,489","","398","","1,085","","1,596",""
"Total employment, 2016","","26,668","","3,871,716","","3,622","","9,583","","23,824",""
"Total annual payroll, 2016 ($1,000)","","1,102,043","","212,488,786","","121,134","","365,800","","951,506",""
"Total employment, percent change, 2015-2016","","0.3%","","-3.4%","","-2.8%","","-0.5%","","1.8%",""
"Total nonemployer establishments, 2016","","7,272","","1,046,426","","1,106","","3,784","","4,520",""
"All firms, 2012","","8,094","","1,146,701","","1,236","","4,466","","6,091",""
"Men-owned firms, 2012","","3,888","","601,676","","564","","2,293","","3,083",""
"Women-owned firms, 2012","","3,202","","439,513","","410","","1,624","","2,112",""
"Minority-owned firms, 2012","","3,203","","631,218","","231","","639","","2,862",""
"Nonminority-owned firms, 2012","","4,524","","481,643","","938","","3,713","","2,876",""
"Veteran-owned firms, 2012","","618","","69,608","","97","","503","","691",""
"Nonveteran-owned firms, 2012","","7,044","","1,044,750","","1,025","","3,812","","5,039",""
"Population per square mile, 2010","","70.6","","2,419.6","","7.7","","51.5","","110.1",""
"Land area in square miles, 2010","","2,137.07","","4,057.88","","4,541.18","","1,256.46","","1,389.42",""
"FIPS Code","","""06039""","","""06037""","","""06035""","","""06033""","","""06031""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
