"Fact","Fact Note","Tuolumne County, California","Value Note for Tuolumne County, California","Tulare County, California","Value Note for Tulare County, California","Trinity County, California","Value Note for Trinity County, California","Tehama County, California","Value Note for Tehama County, California","Sutter County, California","Value Note for Sutter County, California"
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","48.2%","","58.4%","","47.2%","","53.3%","","59.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","47.7%","","50.4%","","47.5%","","48.6%","","52.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","92,814","","451,880","","13,381","","65,144","","116,640",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","345,557","","1,610,236","","27,947","","179,484","","392,432",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","173,104","","8,362,447","","D","","449,524","","543,504",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","3,890,547","","D","","88,813","","1,197,304",""
"Total retail sales, 2012 ($1,000)","(c)","573,262","","3,903,527","","72,655","","654,574","","1,069,489",""
"Total retail sales per capita, 2012","(c)","$10,614","","$8,637","","$5,372","","$10,324","","$11,255",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","27.3","","22.7","","18.9","","24.2","","26.2",""
"Median household income (in 2016 dollars), 2012-2016","","$50,731","","$42,789","","$35,270","","$40,687","","$52,943",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$29,431","","$18,257","","$22,387","","$21,521","","$24,335",""
"Persons in poverty, percent","","15.4%","","24.7%","","21.3%","","20.9%","","17.1%",""
"Total employer establishments, 2016","","1,285","","6,301","","244","","975","","1,722",""
"Total employment, 2016","","12,631","","94,534","","1,575","","12,628","","21,006",""
"Total annual payroll, 2016 ($1,000)","","499,464","","3,705,558","","54,731","","511,441","","871,737",""
"Total employment, percent change, 2015-2016","","1.9%","","0.4%","","3.0%","","2.6%","","1.7%",""
"Total nonemployer establishments, 2016","","4,174","","19,951","","971","","3,205","","5,773",""
"All firms, 2012","","4,466","","23,310","","1,123","","3,954","","5,461",""
"Men-owned firms, 2012","","2,140","","12,168","","543","","2,219","","2,907",""
"Women-owned firms, 2012","","1,484","","8,115","","434","","1,140","","1,806",""
"Minority-owned firms, 2012","","350","","11,023","","214","","784","","1,957",""
"Nonminority-owned firms, 2012","","3,939","","11,406","","838","","3,001","","3,108",""
"Veteran-owned firms, 2012","","444","","1,677","","240","","464","","542",""
"Nonveteran-owned firms, 2012","","3,596","","20,452","","805","","3,282","","4,598",""
"Population per square mile, 2010","","24.9","","91.7","","4.3","","21.5","","157.3",""
"Land area in square miles, 2010","","2,220.88","","4,824.22","","3,179.25","","2,949.71","","602.41",""
"FIPS Code","","""06109""","","""06107""","","""06105""","","""06103""","","""06101""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
