"Fact","Fact Note","Orange County, California","Value Note for Orange County, California","Nevada County, California","Value Note for Nevada County, California","Napa County, California","Value Note for Napa County, California","Monterey County, California","Value Note for Monterey County, California","Mono County, California","Value Note for Mono County, California"
"Median value of owner-occupied housing units, 2012-2016","","$584,200","","$355,900","","$503,100","","$393,300","","$286,100",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$2,555","","$1,962","","$2,355","","$2,081","","$1,925",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$566","","$542","","$599","","$504","","$489",""
"Median gross rent, 2012-2016","","$1,608","","$1,205","","$1,442","","$1,275","","$1,107",""
"Building permits, 2017","","9,510","","419","","183","","776","","51",""
"Households, 2012-2016","","1,017,012","","40,587","","49,375","","125,916","","4,950",""
"Persons per household, 2012-2016","","3.04","","2.40","","2.76","","3.27","","2.77",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","86.4%","","88.4%","","87.1%","","87.4%","","83.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","45.6%","","8.9%","","35.6%","","53.9%","","25.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","84.5%","","93.3%","","83.9%","","70.9%","","84.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","38.4%","","34.4%","","33.0%","","23.6%","","30.6%",""
"With a disability, under age 65 years, percent, 2012-2016","","5.1%","","9.7%","","6.9%","","5.7%","","3.1%",""
"Persons  without health insurance, under age 65 years, percent","","8.2%","","6.9%","","7.2%","","11.0%","","10.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","65.8%","","54.2%","","65.7%","","59.1%","","72.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","58.6%","","50.4%","","60.8%","","54.4%","","67.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","9,050,642","","231,154","","774,149","","1,328,768","","246,872",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","20,682,197","","525,893","","1,360,685","","2,150,972","","69,406",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","47,299,399","","319,706","","4,623,531","","2,258,929","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","97,795,982","","D","","D","","5,775,222","","D",""
"Total retail sales, 2012 ($1,000)","(c)","45,193,625","","1,012,263","","1,699,004","","4,457,401","","139,784",""
"Total retail sales per capita, 2012","(c)","$14,625","","$10,299","","$12,219","","$10,445","","$9,742",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","27.2","","24.1","","23.9","","22.5","","15.9",""
"Median household income (in 2016 dollars), 2012-2016","","$78,145","","$57,429","","$74,609","","$60,889","","$58,937",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$35,939","","$33,385","","$38,057","","$25,947","","$31,059",""
"Persons in poverty, percent","","11.1%","","10.9%","","7.9%","","12.9%","","11.5%",""
"Total employer establishments, 2016","","94,703","","3,013","","4,216","","8,632","","581",""
"Total employment, 2016","","1,482,602","","27,440","","62,535","","107,865","","6,461",""
"Total annual payroll, 2016 ($1,000)","","84,003,192","","1,123,285","","3,188,899","","4,836,357","","186,251",""
"Total employment, percent change, 2015-2016","","2.3%","","1.3%","","0.4%","","1.1%","","4.7%",""
"Total nonemployer establishments, 2016","","307,052","","12,446","","11,857","","25,072","","1,392",""
"All firms, 2012","","340,116","","11,822","","14,236","","30,151","","1,750",""
"Men-owned firms, 2012","","180,456","","6,086","","7,574","","15,108","","987",""
"Women-owned firms, 2012","","119,431","","3,818","","4,309","","10,537","","518",""
"Minority-owned firms, 2012","","145,603","","1,029","","3,192","","11,087","","230",""
"Nonminority-owned firms, 2012","","182,028","","10,382","","10,398","","17,358","","1,467",""
"Veteran-owned firms, 2012","","22,774","","1,136","","1,446","","2,414","","256",""
"Nonveteran-owned firms, 2012","","303,786","","9,929","","11,880","","25,705","","1,367",""
"Population per square mile, 2010","","3,807.7","","103.1","","182.4","","126.5","","4.7",""
"Land area in square miles, 2010","","790.57","","957.77","","748.36","","3,280.60","","3,048.98",""
"FIPS Code","","""06059""","","""06057""","","""06055""","","""06053""","","""06051""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
