"Fact","Fact Note","Calaveras County, California","Value Note for Calaveras County, California","Butte County, California","Value Note for Butte County, California","Amador County, California","Value Note for Amador County, California","Alpine County, California","Value Note for Alpine County, California","Alameda County, California","Value Note for Alameda County, California"
"Persons per household, 2012-2016","","2.50","","2.55","","2.31","","3.34","","2.79",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","90.5%","","79.9%","","83.6%","","84.4%","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","7.0%","","14.2%","","11.4%","","10.2%","","43.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","90.4%","","88.3%","","88.3%","","91.1%","","87.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","20.2%","","26.1%","","21.5%","","29.7%","","43.9%",""
"With a disability, under age 65 years, percent, 2012-2016","","14.4%","","12.7%","","12.7%","","18.6%","","6.1%",""
"Persons  without health insurance, under age 65 years, percent","","6.3%","","7.1%","","6.0%","","7.1%","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","48.4%","","55.4%","","45.5%","","48.4%","","66.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","45.0%","","52.0%","","47.8%","","44.8%","","60.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","69,645","","350,474","","242,022","","D","","3,192,420",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","108,936","","1,434,454","","147,701","","D","","12,949,087",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","1,341,089","","139,631","","X","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","D","","D","","X","","37,580,614",""
"Total retail sales, 2012 ($1,000)","(c)","252,345","","2,576,900","","321,498","","576","","20,901,014",""
"Total retail sales per capita, 2012","(c)","$5,640","","$11,632","","$8,681","","$510","","$13,444",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","34.9","","19.8","","31.2","","22.4","","31.6",""
"Median household income (in 2016 dollars), 2012-2016","","$53,502","","$44,366","","$57,032","","$62,375","","$79,831",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$30,577","","$25,077","","$27,496","","$26,783","","$39,042",""
"Persons in poverty, percent","","13.1%","","19.5%","","11.3%","","18.6%","","10.7%",""
"Total employer establishments, 2016","","908","","4,627","","824","","35","","39,242",""
"Total employment, 2016","","6,251","","60,432","","8,224","","549","","662,511",""
"Total annual payroll, 2016 ($1,000)","","212,445","","2,301,660","","295,389","","7,850","","45,907,712",""
"Total employment, percent change, 2015-2016","","2.3%","","1.6%","","1.2%","","7.4%","","3.2%",""
"Total nonemployer establishments, 2016","","3,604","","13,739","","2,730","","90","","143,612",""
"All firms, 2012","","3,387","","16,240","","2,807","","125","","150,564",""
"Men-owned firms, 2012","","1,861","","8,370","","1,383","","F","","76,387",""
"Women-owned firms, 2012","","1,008","","5,341","","921","","49","","57,305",""
"Minority-owned firms, 2012","","291","","1,858","","259","","F","","75,026",""
"Nonminority-owned firms, 2012","","2,983","","13,644","","2,453","","115","","69,300",""
"Veteran-owned firms, 2012","","392","","1,766","","258","","F","","10,213",""
"Nonveteran-owned firms, 2012","","2,799","","13,509","","2,363","","116","","134,032",""
"Population per square mile, 2010","","44.7","","134.4","","64.1","","1.6","","2,043.6",""
"Land area in square miles, 2010","","1,020.01","","1,636.46","","594.58","","738.33","","739.02",""
"FIPS Code","","""06009""","","""06007""","","""06005""","","""06003""","","""06001""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
