"Fact","Fact Note","San Benito County, California","Value Note for San Benito County, California","Sacramento County, California","Value Note for Sacramento County, California","Riverside County, California","Value Note for Riverside County, California","Plumas County, California","Value Note for Plumas County, California","Placer County, California","Value Note for Placer County, California"
"Households, 2012-2016","","17,390","","527,335","","705,716","","8,376","","136,730",""
"Persons per household, 2012-2016","","3.32","","2.76","","3.25","","2.19","","2.68",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","88.7%","","82.4%","","85.2%","","87.3%","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","39.4%","","31.7%","","40.0%","","9.2%","","14.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","78.3%","","86.8%","","80.5%","","91.9%","","94.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","19.0%","","29.3%","","21.2%","","21.9%","","36.9%",""
"With a disability, under age 65 years, percent, 2012-2016","","5.8%","","8.8%","","7.6%","","15.9%","","6.6%",""
"Persons  without health insurance, under age 65 years, percent","","7.4%","","5.8%","","9.8%","","7.0%","","4.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","67.5%","","62.3%","","59.9%","","51.7%","","60.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","60.9%","","58.1%","","53.0%","","47.0%","","55.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","49,887","","2,422,674","","5,230,919","","D","","1,452,014",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","143,209","","12,358,663","","8,412,078","","85,167","","3,125,443",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","591,100","","6,960,679","","15,137,013","","D","","932,893",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","275,366","","18,746,336","","18,716,807","","D","","4,474,436",""
"Total retail sales, 2012 ($1,000)","(c)","345,195","","15,227,280","","25,058,857","","139,325","","6,437,879",""
"Total retail sales per capita, 2012","(c)","$6,068","","$10,501","","$11,045","","$7,182","","$17,800",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","32.5","","26.5","","32.9","","23.7","","27.1",""
"Median household income (in 2016 dollars), 2012-2016","","$73,814","","$57,509","","$57,972","","$50,125","","$76,926",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$27,848","","$28,292","","$24,443","","$31,292","","$37,914",""
"Persons in poverty, percent","","10.5%","","16.3%","","15.3%","","12.6%","","7.2%",""
"Total employer establishments, 2016","","965","","29,135","","37,345","","587","","10,394",""
"Total employment, 2016","","11,803","","466,341","","553,704","","3,679","","142,490",""
"Total annual payroll, 2016 ($1,000)","","511,694","","24,735,941","","21,617,036","","158,699","","7,125,937",""
"Total employment, percent change, 2015-2016","","6.7%","","3.7%","","2.5%","","-5.0%","","1.0%",""
"Total nonemployer establishments, 2016","","3,617","","104,811","","165,022","","1,584","","32,517",""
"All firms, 2012","","3,867","","110,172","","175,971","","2,039","","31,846",""
"Men-owned firms, 2012","","1,694","","58,846","","90,803","","942","","16,123",""
"Women-owned firms, 2012","","1,596","","40,013","","66,313","","560","","10,464",""
"Minority-owned firms, 2012","","1,408","","43,535","","85,804","","198","","5,173",""
"Nonminority-owned firms, 2012","","2,306","","62,814","","84,871","","1,742","","24,725",""
"Veteran-owned firms, 2012","","296","","9,080","","13,760","","218","","3,095",""
"Nonveteran-owned firms, 2012","","3,319","","96,579","","156,472","","1,653","","26,285",""
"Population per square mile, 2010","","39.8","","1,470.8","","303.8","","7.8","","247.6",""
"Land area in square miles, 2010","","1,388.71","","964.64","","7,206.48","","2,553.04","","1,407.01",""
"FIPS Code","","""06069""","","""06067""","","""06065""","","""06063""","","""06061""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
